이름,위도,경도,소재지,연락처,구분,휴무일,운영시간
울산약국,35.5418436,129.3406778,울산광역시 남구 화합로194번길 12@ 1층 (삼산동),052-268-6966,약국,,
새한빛약국,35.5418234,129.3409364,울산광역시 남구 화합로194번길 12-1@ (삼산동),052-272-1688,약국,,
보라약국,35.5420658,129.3411566,울산광역시 남구 화합로194번길 15@ (삼산동),052-261-6385,약국,,
선암약국,35.5172392,129.315744,울산광역시 남구 두왕로190번길 46@ 1층 (선암동),052-267-6615,약국,,
한양약국,35.516085,129.3377182,울산광역시 남구 산업로339번길 24@ 한양상가 108호 (선암동),052-275-4172,약국,,
남광약국,35.5173293,129.3361678,울산광역시 남구 산업로339번길 38-12@ (선암동),052-267-0231,약국,,
평화약국,35.5385151,129.303187,울산광역시 남구 거마로118번길 17@ (신정동),052-275-0970,약국,,
온누리양지약국,35.5382518,129.3048627,울산광역시 남구 거마로134번길 17@ (신정동),052-275-4536,약국,,
건강온누리약국,35.54871,129.306954,울산광역시 남구 남산로 386@ 103-2호 (신정동),052-265-1470,약국,,
우리들약국,35.5485331,129.3065403,울산광역시 남구 남산로354번길 21@ (신정동),052-269-1004,약국,,
한길약국,35.548552,129.3066768,울산광역시 남구 남산로354번길 23@ (신정동),052-276-6121,약국,,
갑진약국,35.5324172,129.3052418,울산광역시 남구 문수로 474@ 1~2층 (신정동),052-267-6826,약국,,
중앙현대약국,35.5323506,129.3054864,울산광역시 남구 문수로 476@ 1층 (신정동),052-261-2814,약국,,
희망찬약국,35.538364,129.2972964,울산광역시 남구 문수로369번길 65@ (신정동),052-256-8275,약국,,
새봄약국,35.5424454,129.325279,울산광역시 남구 번영로 195@ 107호 (신정동@ 동문아뮤티),052-268-8758,약국,,
주차장약국,35.5462586,129.3219603,울산광역시 남구 번영로245번길 12@ 1~2층 (신정동),052-260-2316,약국,,
명인약국,35.5474664,129.3079418,울산광역시 남구 봉월로 170@ 1층 (신정동),052-272-3776,약국,,
태성약국,35.5328375,129.3069636,울산광역시 남구 봉월로 3@ (신정동),052-265-1540,약국,,
왕자약국,35.5426123,129.3105489,울산광역시 남구 봉월로102번길 42@ (신정동),052-276-3444,약국,,
고운약국,35.5324518,129.3094738,울산광역시 남구 삼산로 14@ (신정동),052-271-7855,약국,,
신약국,35.5327775,129.3105821,울산광역시 남구 삼산로 24@ (신정동),052-272-8333,약국,,
신정열린약국,35.5333473,129.3106472,울산광역시 남구 삼산로 25-1@ 1층 (신정동),052-258-0708,약국,,
정약국,35.5327494,129.3108518,울산광역시 남구 삼산로 26@ 106@108@110호 (신정동@ 공업탑 하트랜드),052-257-6820,약국,,
서광약국,35.5333913,129.3130158,울산광역시 남구 삼산로 48@ (신정동),052-244-4535,약국,,
정온누리약국,35.5341786,129.3138485,울산광역시 남구 삼산로 57@ 1층 (신정동),052-710-5202,약국,,
조은약국,35.5323341,129.3089236,울산광역시 남구 삼산로 8@ (신정동),052-258-6821,약국,,
상쾌한약국,35.5351348,129.3107698,울산광역시 남구 삼산로35번길 19-1@ 1층 (신정동),052-227-6225,약국,,
홍은약국,35.5289951,129.3193562,울산광역시 남구 수암로 105@ 1층 (신정동),052-265-6969,약국,,
울산중앙약국,35.528928,129.3195128,울산광역시 남구 수암로 107@ (신정동),052-266-9250,약국,,
프라임약국,35.528712,129.3199477,울산광역시 남구 수암로 113@ (신정동),052-269-1758,약국,,
신부강약국,35.5286412,129.3200935,울산광역시 남구 수암로 115@ (신정동),052-272-0751,약국,,
모범약국,35.5286412,129.3200935,울산광역시 남구 수암로 115@ (신정동),052-272-8359,약국,,
시장약국,35.5280727,129.3201989,울산광역시 남구 수암로 118@ (신정동),052-227-2243,약국,,
수암약국,35.5280697,129.3199596,울산광역시 남구 수암로 118-3@ (신정동),052-273-9878,약국,,
수성약국,35.5279953,129.3202766,울산광역시 남구 수암로 120@ (신정동),052-275-3936,약국,,
다나약국,35.5310832,129.3126747,울산광역시 남구 수암로 42@ 1층 101호 (신정동),052-273-3999,약국,,
미소랑약국,35.5295314,129.3181894,울산광역시 남구 수암로 93-1@ 1층 (신정동),052-243-2202,약국,,
친절한약국,35.529377,129.3184202,울산광역시 남구 수암로 97@ (신정동),052-900-0078,약국,,
튼튼약국,35.5462388,129.323513,울산광역시 남구 신정로148번길 47@ (신정동),052-276-7979,약국,,
동인약국,35.5462388,129.323513,울산광역시 남구 신정로148번길 47@ (신정동),052-256-3664,약국,,
중앙약국,35.5459973,129.3236169,울산광역시 남구 신정로148번길 50@ (신정동),052-266-9965,약국,,
선우약국,35.5415185,129.3094759,울산광역시 남구 월평로 35@ (신정동),052-269-8075,약국,,
대인약국,35.540845,129.3066689,울산광역시 남구 월평로 9@ 1층 (신정동),052-274-0020,약국,,
울산현대약국,35.5465665,129.322115,울산광역시 남구 월평로159번길 20@ 1층 (신정동),052-260-4567,약국,,
새울산약국,35.5473995,129.3232155,울산광역시 남구 월평로171번길 26@ 1층 125호 (신정동@ 신정 지웰),052-266-5397,약국,,
메디팜성원약국,35.5360448,129.313372,울산광역시 남구 중앙로 167@ (신정동),052-275-6445,약국,,
우리약국,35.5364345,129.3132185,울산광역시 남구 중앙로 173@ 1층 (신정동),052-287-7002,약국,,
해오름우리들약국,35.5413144,129.3119296,울산광역시 남구 중앙로 228@ (신정동),052-269-7277,약국,,
메디팜신정약국,35.5422734,129.3109339,울산광역시 남구 중앙로 241@ (신정동),052-257-7973,약국,,
미래팜한사랑약국,35.5423877,129.3108889,울산광역시 남구 중앙로 243@ (신정동),052-260-6600,약국,,
신유명약국,35.5425223,129.3108351,울산광역시 남구 중앙로 243-1@ 1층 (신정동),052-260-8861,약국,,
소망약국,35.5427803,129.3113332,울산광역시 남구 중앙로 246@ (신정동),052-275-5552,약국,,
울산선진약국,35.5437158,129.3109629,울산광역시 남구 중앙로 258@ (신정동),052-272-8555,약국,,
유진약국,35.5441204,129.3102133,울산광역시 남구 중앙로 263@ 1층 (신정동),052-258-1245,약국,,
효성약국,35.5458638,129.3101761,울산광역시 남구 중앙로 282@ 1층 (신정동),052-261-9965,약국,,
영생약국,35.5462845,129.3099443,울산광역시 남구 중앙로 286-1@ (신정동),052-272-1326,약국,,
동보약국,35.542056,129.310484,울산광역시 남구 중앙로241번길 1@ (신정동),052-272-4845,약국,,
아리솔약국,35.5470193,129.31299,울산광역시 남구 팔등로67번길 17@ 2동 (신정동),052-275-1636,약국,,
홈타운약국,35.5307624,129.3239161,울산광역시 남구 대암로 69@ 1층 124~125호 (야음동),052-227-7760,약국,,
현대온누리약국,35.5307624,129.3239161,울산광역시 남구 대암로 69@ 3층 312@313호 (야음동),052-269-4978,약국,,
보원한약국,35.5294847,129.3262067,울산광역시 남구 대암로 98@ (야음동),052-297-6827,약국,,
그린약국,35.5274216,129.3212967,울산광역시 남구 수암로 130@ (야음동),052-260-5224,약국,,
다윈약국,35.5273382,129.3214907,울산광역시 남구 수암로 132@ 1층 (야음동),052-275-8575,약국,,
참조은약국,35.5272677,129.3216867,울산광역시 남구 수암로 134@ 1층 (야음동),052-223-4600,약국,,
타임약국,35.5269997,129.3219096,울산광역시 남구 수암로 138@ 타임스퀘어 1층 122호 (야음동),052-256-0416,약국,,
햇살약국,35.5263914,129.3228077,울산광역시 남구 수암로 148@ 2층 (야음동@ 홈플러스),052-256-9735,약국,,
영진약국,35.5245192,129.330947,울산광역시 남구 수암로 230@ (야음동),052-271-1292,약국,,
대가약국,35.5236182,129.3322443,울산광역시 남구 수암로 246@ (야음동),052-272-0720,약국,,
대현약국,35.5213398,129.3358823,울산광역시 남구 수암로 288-1@ (야음동),052-272-7813,약국,,
매일약국,35.5209435,129.335879,울산광역시 남구 수암로288번길 5@ (야음동),052-272-4418,약국,,
행운약국,35.5227362,129.3190642,울산광역시 남구 중앙로 14@ 1층 (야음동),052-260-8575,약국,,
대웅약국,35.5354572,129.2898094,울산광역시 남구 문수로 331@ 1층 (옥동),052-271-0402,약국,,
유정약국,35.5348499,129.290306,울산광역시 남구 문수로 338@ 유원빌딩 (옥동),052-261-1633,약국,,
서약국,35.5347127,129.294175,울산광역시 남구 문수로 371@ (옥동),052-266-2221,약국,,
새부산약국,35.5341544,129.2943426,울산광역시 남구 문수로 376@ (옥동),052-256-8466,약국,,
대왕약국,35.5338568,129.2960453,울산광역시 남구 문수로 390@ (옥동),052-227-3955,약국,,
고려약국,35.5355762,129.29061,울산광역시 남구 문수로335번길 6@ (옥동),052-267-1044,약국,,
남목공룡약국,35.5423735,129.4274158,울산광역시 동구 남목17길 4@ 1층 (동부동),052-252-6119,약국,,
선린약국,35.541688,129.4265994,울산광역시 동구 동해안로 28@ (동부동),052-252-3889,약국,,
신현대온누리약국,35.5423991,129.4279889,울산광역시 동구 동해안로 43@ (동부동),052-251-1181,약국,,
청솔약국,35.5423649,129.4285649,울산광역시 동구 동해안로 49@ (동부동),052-252-8778,약국,,
신대흥약국,35.5426683,129.4316306,울산광역시 동구 안산로 50@ (동부동@ 현대패밀리동부아파트),052-251-0552,약국,,
제일약국,35.4853995,129.422519,울산광역시 동구 꽃바위로 311@ 1층 (방어동),052-232-8972,약국,,
새모범약국,35.4865383,129.4260222,울산광역시 동구 내진1길 2@ (방어동),052-232-6642,약국,,
해맑은약국,35.4866199999999,129.4259372,울산광역시 동구 동진로 6@ (방어동),052-236-1454,약국,,
순정약국,35.4829091,129.4169009,울산광역시 동구 문재6길 4@ 1층 (방어동),052-235-3375,약국,,
초롱약국,35.4834138,129.4176635,울산광역시 동구 문재7길 5@ (방어동),052-234-6786,약국,,
꽃바위약국,35.4848988,129.4131477,울산광역시 동구 문현로 40-1@ (방어동),052-201-4455,약국,,
메디칼약국,35.4871243,129.4202205,울산광역시 동구 방어진순환도로 482@ (방어동),052-201-7820,약국,,
드림약국,35.4828244,129.416774,울산광역시 동구 화문로 73@ (방어동),052-201-5305,약국,,
위드팜대학약국,35.5232793,129.4317731,울산광역시 동구 명덕6길 16@ C동 (서부동),052-236-3258,약국,,
대학약국,35.5223914,129.4307997,울산광역시 동구 명덕로 15@ 센텀원상가 101호 (서부동),052-201-0070,약국,,
대성약국,35.5322485,129.4185428,울산광역시 동구 방어진순환도로 1118-1@ (서부동),052-251-1501,약국,,
태광약국,35.5322485,129.4185428,울산광역시 동구 방어진순환도로 1120@ (서부동),052-251-1412,약국,,
행운약국,35.5322485,129.4185428,울산광역시 동구 방어진순환도로 1125@ (서부동),052-252-3375,약국,,
광성약국,35.5322485,129.4185428,울산광역시 동구 방어진순환도로 1131@ (서부동),052-252-3488,약국,,
힐링약국,35.5322485,129.4185428,울산광역시 동구 방어진순환도로 1138@ 소망메디컬 (서부동),052-234-8989,약국,,
새미래약국,35.539213,129.4254877,울산광역시 동구 방어진순환도로 1160@ 새미래약국 (서부동),052-236-1356,약국,,
현대백화점약국,35.5289285,129.4066049,울산광역시 동구 방어진순환도로 899@ (서부동),052-251-7194,약국,,
동산약국,35.5322485,129.4185428,울산광역시 동구 방어진순환도로 923@ (서부동),052-251-0432,약국,,
보은약국,35.5322485,129.4185428,울산광역시 동구 방어진순환도로 927-1@ (서부동),052-232-6631,약국,,
청춘약국,35.5247878,129.4327963,울산광역시 동구 방어진순환도로 937@ 1층 (서부동),052-251-3788,약국,,
해오름약국,35.4983616,129.4276713,울산광역시 동구 방어진순환도로 633@ 세인트에스타워 (일산동),052-201-5975,약국,,
팜플러스약국,35.4989422,129.4274591,울산광역시 동구 방어진순환도로 637@ 홈플러스 (일산동),052-234-6664,약국,,
바다약국,35.4994166,129.4280896,울산광역시 동구 방어진순환도로 645@ 1층 (일산동),052-234-6605,약국,,
사랑의 약국,35.5001041,129.4282344,울산광역시 동구 방어진순환도로 651@ (일산동),052-236-1214,약국,,
365열린약국,35.4997958,129.4292672,울산광역시 동구 방어진순환도로 652@ C동 116~117호 (일산동@ 테라스파크),052-209-0333,약국,,
녹십자약국,35.5132072,129.4304993,울산광역시 동구 녹수길 9@ (전하동),052-232-3158,약국,,
동울산대학약국,35.5178847,129.431218,울산광역시 동구 바드래1길 3@ (전하동),052-236-8789,약국,,
새정문약국,35.5170878,129.4290964,울산광역시 동구 바드래1길 35@ 필하모니 (전하동),052-236-3759,약국,,
편리한주차약국,35.5171195,129.4284838,울산광역시 동구 바드래1길 45@ 현대중공업임원숙소 101호 (전하동),052-234-7890,약국,,
하나약국,35.5176985,129.4281355,울산광역시 동구 바드래1길 46@ 108동 101호 (전하동@ 전하 KCC스위첸),052-236-7004,약국,,
친절한 약국,35.5178118,129.4309122,울산광역시 동구 바드래1길 7@ (전하동),052-201-3470,약국,,
한가족약국,35.5052852,129.4294439,울산광역시 동구 방어진순환도로 711-1@ (전하동),052-252-1781,약국,,
현약국,35.5144206,129.4295024,울산광역시 동구 방어진순환도로 725@ (전하동),052-252-4874,약국,,
보람약국,35.5103831,129.4199719,울산광역시 동구 방어진순환도로 745@ (전하동),052-236-0835,약국,,
월드약국,35.515566,129.42317,울산광역시 동구 방어진순환도로 747@ (전하동),052-232-3900,약국,,
튼튼약국,35.5135475,129.4216981,울산광역시 동구 방어진순환도로 771@ (전하동),052-201-6777,약국,,
스타온누리약국,35.5144206,129.4295024,울산광역시 동구 방어진순환도로 785@ (전하동),052-233-6925,약국,,
부민약국,35.5144206,129.4295024,울산광역시 동구 방어진순환도로 787@ (전하동),251-0614,약국,,
선명약국,35.5144206,129.4295024,울산광역시 동구 방어진순환도로 793@ (전하동),052-251-5888,약국,,
새봄약국,35.5127627,129.4306281,울산광역시 동구 방어진순환도로 795@ 1층 (전하동),052-233-1413,약국,,
새현대약국,35.5144206,129.4295024,울산광역시 동구 방어진순환도로 859@ (전하동),052-233-2212,약국,,
건강백세약국,35.5144206,129.4295024,울산광역시 동구 방어진순환도로 863@ (전하동@ 스위첸 웰츠타워 1차),010-9222-8275,약국,,
일등약국,35.5144206,129.4295024,울산광역시 동구 방어진순환도로 863@ 상가동 401@402호 (전하동@ 스위첸 웰츠타워 1차),052-232-2991,약국,,
1번약국,35.5144206,129.4295024,울산광역시 동구 방어진순환도로 863@ 상가동 403@404호 (전하동@ 스위첸 웰츠타워 1차),052-233-0202,약국,,
한마음온누리약국,35.5144206,129.4295024,울산광역시 동구 봉수로 370@ (전하동@ 전하동현대홈타운),052-234-7582,약국,,
우리약국,35.512375,129.4305356,울산광역시 동구 전하로 2@ (전하동),052-234-1256,약국,,
태화당약국,35.5064805,129.427398,울산광역시 동구 진성11길 42@ (전하동),052-232-0023,약국,,
비타민약국,35.5109068,129.426251,울산광역시 동구 진성14길 118@ (전하동),070-8829-8245,약국,,
만세대약국,35.5114749,129.4263391,울산광역시 동구 진성14길 128@ (전하동),052-234-5353,약국,,
태화약국,35.5093181,129.4260467,울산광역시 동구 진성14길 90@ (전하동),052-937-8275,약국,,
우리집약국,35.5098138,129.426084,울산광역시 동구 진성14길 96@ (전하동),052-201-6888,약국,,
남산약국,35.5089579,129.4259112,울산광역시 동구 진성4길 57@ (전하동),052-251-4421,약국,,
한사랑약국,35.4980006,129.4233043,울산광역시 동구 대학길 130@ 1층 (화정동),052-234-7701,약국,,
건강한약국,35.4987317,129.4196082,울산광역시 동구 대학길 33@ (화정동),052-235-4298,약국,,
현대약국,35.4984769,129.4201031,울산광역시 동구 대학길 40@ (화정동),052-235-8893,약국,,
엄마손약국,35.4989653,129.4211914,울산광역시 동구 대학길 59@ (화정동),052-234-5593,약국,,
밝은약국,35.4988725,129.4217574,울산광역시 동구 대학길 71@ (화정동),052-233-8590,약국,,
우리들약국,35.498425,129.4216395,울산광역시 동구 대학길 72@ (화정동),052-252-7569,약국,,
명인약국,35.4988457,129.4219203,울산광역시 동구 대학길 75@ (화정동),052-903-7913,약국,,
신세계온누리약국,35.4983902,129.4218648,울산광역시 동구 대학길 76@ (화정동),052-235-1775,약국,,
행복약국,35.5026348,129.4155271,울산광역시 동구 방어진순환도로 577@ (화정동),052-209-1005,약국,,
은성약국,35.4986204,129.420796,울산광역시 동구 양지5길 72@ 1층 (화정동),052-251-2016,약국,,
태평양약국,35.4911161,129.4204079,울산광역시 동구 월봉6길 39@ 화정상가 (화정동),052-252-2324,약국,,
새싹약국,35.4927328,129.4219496,울산광역시 동구 월봉8길 54@ (화정동),052-252-6376,약국,,
경남약국,35.4951906,129.4201858,울산광역시 동구 월봉로 14@ (화정동),052-233-9930,약국,,
마음약국,35.6425661,129.357502,울산광역시 북구 괴정1길 114@ 1층 (매곡동),052-933-0810,약국,,
매곡약국,35.6427625,129.3537585,울산광역시 북구 매곡1로 15@ 농소농협 1층 (매곡동),052-294-6212,약국,,
햇살약국,35.6447045,129.3511737,울산광역시 북구 매곡1로 46@ 2층 202호 (매곡동@ 대우프라자),052-293-7282,약국,,
드림약국,35.6426832,129.3554785,울산광역시 북구 매곡로 115@ 105@106호 (매곡동),052-282-3393,약국,,
빛나온누리약국,35.6394277,129.362163,울산광역시 북구 매곡산업로 175@ 서희파크 104호 (매곡동),052-297-8310,약국,,
더조은약국,35.641794,129.3570996,울산광역시 북구 매산로 15@ 1층 (매곡동),052-285-1990,약국,,
에일린약국,35.6370733,129.3648308,울산광역시 북구 호계매곡1로 31@ b11호 (매곡동@ 드림인시티 에일린의뜰 1차),052-282-0185,약국,,
지원약국,35.5539245,129.3566167,울산광역시 북구 명촌로 75@ 미남빌딩 1층 (명촌동),052-283-1871,약국,,
우리약국,35.5537774,129.354999,울산광역시 북구 명촌로 80@ 105호 (명촌동@ 평창리비에르3차상가),052-287-0049,약국,,
한나약국,35.553322,129.3551647,울산광역시 북구 명촌로 85@ 103호 (명촌동@ 평창리비에르아파트2차상가),052-288-1085,약국,,
파마시아마리약국,35.6207175,129.4405352,울산광역시 북구 산하중앙2로 150@ 106호 (산하동),052-295-1110,약국,,
미소약국,35.6207175,129.4405352,울산광역시 북구 산하중앙2로 290@ 104호 (산하동@ 아이스퀘어),052-244-7582,약국,,
동인당약국,35.6300759,129.3448336,울산광역시 북구 신답로 26@ (상안동),052-286-8823,약국,,
정약국,35.6287711,129.3444274,울산광역시 북구 신답로 35@ 1층 (상안동@ 하이크리닉),052-282-4242,약국,,
정성약국,35.6291286,129.3430051,울산광역시 북구 신답로 48@ (상안동),052-297-9334,약국,,
희망온누리약국,35.6302328,129.3438665,울산광역시 북구 아진로 31@ 현동메디칼 101호 (상안동),052-282-6550,약국,,
원약국,35.630435,129.3403839,울산광역시 북구 아진로 78@ 105호 (상안동@ 맑은샘물빌딩),052-293-8277,약국,,
센트럴온누리약국,35.6014868,129.3653166,울산광역시 북구 박상진12로 11@ 지오타워 109호@ 110호 (송정동),052-282-2323,약국,,
에디슨약국,35.6013909,129.3646913,울산광역시 북구 박상진13로 3@ 1층 (송정동),052-282-8078,약국,,
참약사새봄약국,35.6017844,129.3652684,울산광역시 북구 화산로 109@ 1층 110호 (송정동),070-4010-5917,약국,,
우리동네약국,35.6347962,129.3488932,울산광역시 북구 매곡로 7@ 농소농업협동조합 1층 (신천동),052-287-1939,약국,,
농소약국,35.6312955,129.351363,울산광역시 북구 제내1길 2@ 1층 104호 (신천동@ 필그린쇼핑센터),052-286-0043,약국,,
농소금강산약국,35.6318951,129.350992,울산광역시 북구 호계로 322@ 농소금강산약국 (신천동),052-286-5507,약국,,
호계약국,35.6324917,129.3505421,울산광역시 북구 호계로 328@ 101호 (신천동@ 코끼리타운),070-7715-0399,약국,,
영원약국,35.6379536,129.3502013,울산광역시 북구 호계로 332-1@ 204-1호 (신천동),052-713-5400,약국,,
플러스약국,35.6329144,129.3498704,울산광역시 북구 호계로 332-1@ 현대하이플러스 104호 (신천동),052-286-6780,약국,,
태양약국,35.5412576,129.3917462,울산광역시 북구 염포로 517@ (양정동),052-288-8807,약국,,
양정약국,35.545183,129.3874239,울산광역시 북구 염포로 529@ 104호 (양정동),052-246-2522,약국,,
조명약국,35.5415013,129.387464,울산광역시 북구 염포로 539@ (양정동),052-287-0094,약국,,
현대문화약국,35.538148,129.3882355,울산광역시 북구 염포로 601@ (양정동@ 현대자동차문화회관),052-287-2840,약국,,
중앙약국,35.5828584,129.3705689,울산광역시 북구 산업로 1005@ 101호@ 102호 (연암동),070-5014-5782,약국,,
신세계약국,35.581366,129.36275,울산광역시 북구 산업로 1011-10@ (연암동),052-289-3470,약국,,
화봉금강산약국,35.5876996,129.3656859,울산광역시 북구 상방로 106@ (연암동),052-288-5506,약국,,
화봉약국,35.5879243,129.3656885,울산광역시 북구 화봉로 60@ (연암동),052-289-7658,약국,,
대영약국,35.535815,129.3891956,울산광역시 북구 염포로 631@ (염포동),052-289-4272,약국,,
유정약국,35.5252947,129.3963415,울산광역시 북구 염포로 673@ (염포동),052-287-7587,약국,,
강동약국,35.615459,129.4427831,울산광역시 북구 동해안로 1441@ (정자동),052-298-3358,약국,,
이화열린약국,35.6624966,129.3390922,울산광역시 북구 이화5길 10@ (중산동),052-298-8595,약국,,
연두약국,35.6534432,129.3516166,울산광역시 북구 중산동로 27@ 101호 (중산동),052-285-2567,약국,,
느티나무약국,35.5790323,129.3581167,울산광역시 북구 진장유통로 90@ (진장동),052-287-7320,약국,,
건우약국,35.6342542,129.3323592,울산광역시 북구 가재길 87@ (천곡동@ 농협천곡지점),052-293-2324,약국,,
미래약국,35.6331408,129.334248,울산광역시 북구 달천로 9@ 1층 (천곡동),052-293-2937,약국,,
한가족약국,35.6309660999999,129.3378121,울산광역시 북구 아진로 102@ (천곡동),052-298-8111,약국,,
대성약국,35.6379868,129.3273607,울산광역시 북구 천곡길 161@ (천곡동),052-285-2885,약국,,
엄약국,35.6317324,129.3335241,울산광역시 북구 천곡남로 37@ (천곡동),052-298-2095,약국,,
열린문약국,35.6276799,129.3515981,울산광역시 북구 동대1길 17-1@ (호계동),052-298-2022,약국,,
새보생약국,35.622827,129.3553633,울산광역시 북구 호계2길 7@ 103호 (호계동),052-295-6020,약국,,
호계로약국,35.6222848,129.3555993,울산광역시 북구 호계로 202@ 1층 (호계동),052-707-3380,약국,,
바로약국,35.625488,129.353377,울산광역시 북구 호계로 244-2@ 1층 (호계동),052-937-5702,약국,,
세연약국,35.6283041,129.3506637,울산광역시 북구 호계로 281@ (호계동),052-295-4245,약국,,
밝은약국,35.6284723,129.3506225,울산광역시 북구 호계로 283@ (호계동),052-295-1832,약국,,
한마음약국,35.6292013,129.3513093,울산광역시 북구 호계로 292@ (호계동),052-282-0872,약국,,
선화약국,35.6297399,129.3514642,울산광역시 북구 호계로 298@ 1층 (호계동),052-293-9366,약국,,
하나약국,35.588602,129.3662594,울산광역시 북구 화봉로 67@ (화봉동@ 경남은행),052-287-4441,약국,,
무룡메디칼약국,35.5885927,129.3673247,울산광역시 북구 화봉로 75@ (화봉동),052-289-5344,약국,,
송정약국,35.59693,129.3668687,울산광역시 북구 화산6길 8@ S 타워 102@103호 (화봉동),052-700-4189,약국,,
푸른약국,35.5736265,129.2413774,울산광역시 울주군 범서읍 구영로 100,052-211-9965,약국,,
새천년약국,35.5732174,129.2416656,울산광역시 울주군 범서읍 구영로 104@ 1층,052-211-7382,약국,,
대림약국,35.5700545,129.2430045,울산광역시 울주군 범서읍 구영로 142@ 1층,052-242-7575,약국,,
GM약국,35.5748275,129.2409935,울산광역시 울주군 범서읍 구영로 86@ 2층 202@203호 (GM프라자),052-211-2285,약국,,
바른약국,35.5561357,129.2620412,울산광역시 울주군 범서읍 굴화2길 2,052-225-0679,약국,,
독일약국,35.561874,129.2311129,울산광역시 울주군 범서읍 대동길 28@ 102호,052-248-1997,약국,,
열린약국,35.5577072,129.2568908,울산광역시 울주군 범서읍 울밀로 2822,052-222-1510,약국,,
하나로약국,35.5575943,129.25406,울산광역시 울주군 범서읍 장검길 10@ 2층,052-221-1229,약국,,
키다리약국,35.5517268,129.2516035,울산광역시 울주군 범서읍 장검길 79@ (범서읍),052-223-4512,약국,,
현대약국,35.5710594,129.2399119,울산광역시 울주군 범서읍 점촌4길 43@ 1층 10호 (현대마크맨션아파트 상가),052-248-9570,약국,,
으뜸약국,35.560856,129.2266932,울산광역시 울주군 범서읍 천상길 17,052-248-7590,약국,,
주노온누리약국,35.5625669,129.2252826,울산광역시 울주군 범서읍 천상중앙길 102@ 1층 102호,052-211-2260,약국,,
천상약국,35.5630974,129.2277355,울산광역시 울주군 범서읍 천상중앙길 80,052-211-8418,약국,,
메디팜울산약국,35.5629268,129.2269521,울산광역시 울주군 범서읍 천상중앙길 86@ (범서읍),052-242-0220,약국,,
종근당약국,35.5624045,129.2261329,울산광역시 울주군 범서읍 천상중앙길 95@ 1층 (한솔빌딩),052-242-0062,약국,,
서울산조은약국,35.5592615,129.1204435,울산광역시 울주군 삼남면 남상평2길 6-4@ 1층,052-262-8001,약국,,
메가약국,35.536375,129.0966336,울산광역시 울주군 삼남면 반구대로 612@ (삼남면),052-263-1878,약국,,
나누리약국,35.5580975,129.1141863,울산광역시 울주군 삼남면 서향교1길 67-6@ (삼남면),052-264-0006,약국,,
강남약국,35.5595826,129.1218175,울산광역시 울주군 삼남면 중평로 54@ (삼남면),052-264-0222,약국,,
새우리약국,35.5600588,129.1213568,울산광역시 울주군 삼남면 중평로 57,052-263-6868,약국,,
가지산약국,35.5900971,129.0907532,울산광역시 울주군 상북면 상북로 280,052-263-9977,약국,,
진하우리약국,35.385114,129.3459835,울산광역시 울주군 서생면 진하6길 18@ (서생면),052-238-8677,약국,,
보림약국,35.3480374,129.3236677,울산광역시 울주군 서생면 해맞이로 872@ 1동 2층,052-239-2370,약국,,
백약국,35.5642463,129.1225756,울산광역시 울주군 언양읍 남문길 12@ (언양읍),052-254-0130,약국,,
진주약국,35.5643892,129.1222084,울산광역시 울주군 언양읍 남문길 13,052-254-3917,약국,,
새싹약국,35.5779698,129.1226161,울산광역시 울주군 언양읍 능골길 39@ (언양읍),052-264-8402,약국,,
새열린약국,35.565567,129.1247111,울산광역시 울주군 언양읍 동문길 64,052-262-1511,약국,,
효성약국,35.5653784,129.1250942,울산광역시 울주군 언양읍 동문길 65,052-263-0890,약국,,
세화약국,35.5629502,129.1267432,울산광역시 울주군 언양읍 반구대로 815@ 1층,052-254-0321,약국,,
한결약국,35.5630554,129.1273918,울산광역시 울주군 언양읍 반구대로 818@ 818,052-254-7798,약국,,
언양메디칼약국,35.5633695,129.1275314,울산광역시 울주군 언양읍 반구대로 822,052-264-9337,약국,,
유니스트 약국,35.5734176,129.189629,울산광역시 울주군 언양읍 유니스트길 50@ 울산과학기술원 205동 B109호,070-7773-9314,약국,,
신평화약국,35.5659192,129.1172451,울산광역시 울주군 언양읍 읍성로 15,052-254-8275,약국,,
하나약국,35.5652953,129.1171139,울산광역시 울주군 언양읍 읍성로 7,052-254-5332,약국,,
언양온누리약국,35.5670109,129.1180568,울산광역시 울주군 언양읍 헌양길 156,052-264-6205,약국,,
나은약국,35.5643706,129.1267244,울산광역시 울주군 언양읍 헌양길 161층,052-263-0047,약국,,
우리들약국,35.5670708,129.1169755,울산광역시 울주군 언양읍 헌양길 175@ 103호,055-254-4518,약국,,
동신약국,35.5642336,129.1262927,울산광역시 울주군 언양읍 헌양길 19,052-262-1431,약국,,
임약국,35.5652111,129.1250306,울산광역시 울주군 언양읍 헌양길 46,052-262-0073,약국,,
제일약국,35.5649373,129.1239068,울산광역시 울주군 언양읍 헌양길 59,052-254-2346,약국,,
김약국,35.5651136,129.1227537,울산광역시 울주군 언양읍 헌양길 78,052-262-1156,약국,,
덕신중앙약국,35.4321363,129.3103924,울산광역시 울주군 온산읍 덕남로 29@ (온산읍),052-238-8017,약국,,
재연약국,35.434349,129.3054443,울산광역시 울주군 온산읍 덕신로 217@ 105호,052-237-1012,약국,,
새온산약국,35.4337242,129.3089482,울산광역시 울주군 온산읍 덕신로 251,052-922-5757,약국,,
